PB010;PB020;PB030;PB040;PB060;PB100;PB110;PB120;PB130;PB140;PB150;PB190;PB200;PB220A;PE010;PE020;PE040;PL031;PL035;PL015;PL020;PL025;PL040;PL051;PL060;PL100;PL111;PL120;PL130;PL140;PL150;PL160;PL170;PL180;PL190;PH010;PH020;PH030;PH040;PH050;PH060;PH070;PY020N;PY035N;PY010G;PY020G;PY021G;PY030G;PY031G;PY035G;PY050G;PY080G;PY090G;PY100G;PY110G;PY120G;PY130G;PY140G;PY200G;PD020;PD030;PD050;PD060;PD070;PD080;PD090;PW010;PW020;PW030;PW040;PW050;PW060;PW070;PW080;PW090;PW100;PW110;PW120;PW130;PW140;PW150;PW160;PW170;PW180;PW190;PW200;PW210;PW220;PX010;PX020;PX030;PX040;PX050;PX200
2013;BE;1891;566.5109034;NA;2;2013;NA;3;1932;2;1;1;BE;2;NA;5;7;NA;1;1;NA;1;4;NA;NA;NA;NA;NA;1;2;NA;NA;NA;24;1;1;1;2;NA;2;NA;0;1;0;0;0;6959;1;0;0;0;0;13092;0;0;0;0;1;1;1;1;1;1;2;6;6;0;4;8;3;3;2;3;2;10;NA;6;6;8;5;7;1;1;7;5;8;2;1;80;189;1;6;1720.307366
2013;BE;2241;566.5109034;NA;2;2013;NA;3;1981;1;5;1;EU;2;NA;5;1;1;NA;2;NA;3;0 - 1;39;NA;l-n;NA;13;1;1;2;NA;NA;14;1;2;NA;2;6;2;NA;0;1;33957;1597;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;8;8;7;5;3;5;NA;NA;NA;8;6;8;6;6;7;9;1;2;NA;9;7;2;1;31;224;1;2;506.1410182
2013;BE;2441;566.5109034;NA;2;2013;NA;3;1966;1;2;3;Other;2;5;0;10;NA;2;2;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;NA;NA;2;NA;0;1;0;0;0;0;1;910;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;4;8;NA;NA;8;3;3;2;NA;2;NA;NA;NA;5;6;99;8;1;2;8;NA;6;3;1;46;244;1;8;794.8149013
2013;BE;2801;566.5109034;NA;3;2013;NA;2;1982;2;2;3;BE;2;NA;3;10;1;1;2;1;3;4;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;2;1;3;2;NA;2;NA;0;1;9993;0;0;13060;1;1347;0;0;0;0;0;0;0;0;1;1;1;2;1;2;1;1;7;7;2;10;5;3;1;3;2;NA;NA;8;NA;4;8;9;1;1;4;9;7;3;1;30;280;1;2;967.6480356
2013;BE;3001;566.5109034;NA;2;2013;NA;3;1961;1;2;3;BE;2;NA;3;5;NA;1;NA;1;3;3;20;NA;NA;NA;NA;1;2;NA;1;NA;18;1;1;3;2;NA;2;NA;1550;1;0;0;0;14993;1;0;0;0;9139;0;0;0;0;0;1;2;1;1;2;1;3;5;5;8;5;NA;5;4;4;4;2;NA;NA;5;7;3;6;9;1;1;6;9;NA;2;1;51;300;1;2;NA
2013;BE;3031;566.5109034;NA;2;2013;NA;2;1944;2;4;1;EU;2;NA;3;7;NA;1;2;NA;3;0 - 1;NA;NA;NA;2;2;2;2;NA;7;NA;24;2;1;1;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;0;4742;0;0;0;0;1;1;1;1;3;1;1;5;9;10;8;8;NA;4;2;3;1;8;NA;5;5;9;6;9;1;1;7;8;8;3;1;68;303;1;7;912.1111949
2013;BE;3151;566.5109034;NA;3;2013;NA;1;1952;2;5;1;BE;2;NA;5;1;1;NA;NA;NA;3;2;38;NA;j;NA;13;1;2;2;NA;NA;21;2;2;3;2;NA;2;NA;60;1;54670;3925;1615;13556;1;910;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;5;8;8;7;7;1;5;2;3;2;9;NA;6;NA;5;7;9;1;1;5;7;7;1;1;60;315;1;2;1736.899988
2013;BE;3191;566.5109034;NA;2;2013;NA;2;1943;1;1;1;BE;2;NA;2;7;1;1;NA;NA;3;8;19;NA;NA;NA;NA;1;2;NA;NA;NA;35;2;2;3;2;NA;2;NA;700;1;0;0;0;26864;1;0;0;0;0;30903;0;0;0;0;1;1;1;1;2;1;1;5;NA;8;NA;7;NA;5;2;4;2;8;9;NA;5;4;6;7;1;1;8;NA;7;1;1;69;319;1;7;640.2625658
2013;BE;3481;566.5109034;NA;2;2013;NA;1;1949;2;5;3;BE;1;NA;NA;8;NA;NA;NA;NA;3;;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;3;2;2;2;NA;2;NA;12;1;0;0;0;9032;1;0;0;0;0;9513;0;0;0;0;1;1;1;1;3;1;1;5;NA;1;6;8;3;4;1;4;2;NA;NA;7;6;5;1;6;1;1;5;9;6;2;1;63;348;1;5;NA
2013;BE;3511;566.5109034;NA;2;2013;NA;3;1959;2;2;1;Other;1;NA;5;10;NA;1;2;NA;3;;NA;NA;NA;4;NA;1;NA;2;NA;10;NA;1;2;2;2;6;2;NA;1460;1;0;0;0;11851;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;8;NA;NA;NA;3;5;2;4;2;NA;NA;8;5;8;8;8;NA;NA;7;7;7;2;1;53;351;1;7;2195.985937
2013;BE;3601;566.5109034;NA;2;2013;NA;2;1947;2;5;1;BE;2;NA;5;7;NA;NA;2;NA;3;4;NA;NA;NA;NA;NA;1;2;2;NA;NA;42;4;1;1;2;NA;2;NA;650;1;0;0;0;9708;1;910;0;0;0;13170;0;0;0;0;1;1;1;1;3;1;1;1;7;2;8;7;3;5;4;4;1;NA;NA;2;6;2;6;8;1;2;3;8;0;NA;1;65;360;1;5;1102.010531
2013;BE;3701;566.5109034;NA;2;2013;NA;3;1983;1;1;3;EU;2;3;5;1;NA;2;2;NA;NA;4;NA;NA;o;NA;NA;1;NA;NA;NA;NA;NA;1;2;3;2;NA;2;NA;0;1;1756;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;5;7;1;6;8;NA;3;1;NA;3;NA;NA;6;NA;99;3;NA;1;1;1;8;NA;2;1;29;370;1;2;337.4909709
2013;BE;3751;566.5109034;NA;2;2013;NA;3;1982;2;2;1;BE;2;NA;3;1;1;NA;NA;NA;3;2;36;NA;p;NA;12;1;1;2;NA;NA;18;2;2;3;2;NA;2;NA;0;1;39275;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;5;NA;8;9;9;NA;4;2;3;3;NA;10;7;5;6;NA;7;1;1;8;10;8;3;1;30;375;1;2;2908.614181
2013;BE;4021;566.5109034;NA;2;2013;NA;3;1952;2;2;3;Other;2;NA;1;5;NA;2;NA;NA;3;9;NA;NA;NA;NA;NA;1;1;NA;NA;NA;19;2;1;3;2;NA;2;NA;300;1;0;0;0;0;1;0;0;0;6380;0;0;0;0;0;1;1;1;1;1;1;1;6;7;NA;8;6;4;3;3;2;2;NA;NA;3;NA;0;8;8;1;1;5;8;5;3;1;60;402;1;5;NA
2013;BE;4101;566.5109034;NA;2;2013;NA;2;1963;2;1;1;BE;2;NA;5;1;1;NA;NA;NA;3;2;38;NA;l-n;NA;13;1;1;2;NA;10;16;4;2;3;2;NA;2;NA;0;1;36076;174;0;12130;1;1000;0;0;0;0;0;0;0;569;1;1;1;1;1;2;1;5;7;7;8;8;NA;5;3;5;2;8;NA;8;NA;7;7;6;2;NA;8;9;6;2;1;49;410;1;2;484.3060894
2013;BE;4121;566.5109034;NA;2;2013;NA;4;1946;2;5;1;BE;2;NA;2;7;1;1;NA;NA;2;4;NA;NA;NA;NA;13;1;1;NA;NA;NA;18;2;1;3;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;0;19458;0;0;0;0;1;1;1;1;3;3;1;NA;9;10;8;NA;3;5;NA;5;2;NA;NA;6;5;8;NA;9;1;NA;5;8;9;1;1;66;412;1;7;1070.439873
2013;BE;4151;566.5109034;NA;2;2013;NA;2;1987;2;1;1;BE;2;NA;3;1;1;NA;NA;NA;3;4;NA;8;b-e;NA;7;1;1;NA;NA;NA;18;2;2;3;2;NA;2;NA;0;1;20971;0;0;0;1;900;0;0;0;0;0;0;0;0;1;1;1;1;1;1;NA;1;8;9;9;NA;3;3;1;1;1;4;NA;5;3;4;5;10;1;1;6;10;8;2;1;25;415;1;3;957.6210609
2013;BE;4381;566.5109034;NA;4;2013;NA;2;1981;1;1;1;BE;2;NA;2;1;1;NA;NA;NA;3;8;60;NA;b-e;NA;13;1;2;2;NA;NA;18;1;2;3;2;NA;2;NA;0;1;28414;0;0;0;1;0;0;0;0;0;0;0;0;877;1;2;1;1;1;1;1;5;NA;7;7;NA;3;4;NA;NA;2;NA;10;7;5;5;4;9;1;1;5;9;8;NA;1;31;438;1;2;530.244244
2013;BE;4441;566.5109034;NA;3;2013;NA;2;1960;1;2;1;BE;2;NA;5;8;NA;1;NA;NA;3;4;NA;NA;NA;NA;NA;1;2;NA;NA;NA;14;1;2;3;2;1;2;NA;0;1;0;0;0;0;1;0;0;0;0;0;0;0;22838;0;1;1;1;1;1;1;3;5;7;8;6;8;2;4;NA;5;2;8;NA;5;0;7;6;7;1;1;7;9;7;2;1;52;444;1;7;1353.509697
2013;BE;5061;566.5109034;NA;3;2013;NA;2;1932;1;4;1;BE;2;NA;2;7;1;NA;1;NA;3;9;24;NA;NA;NA;NA;1;2;2;NA;NA;22;3;2;2;2;NA;2;NA;0;1;11795;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;5;99;10;NA;5;5;3;3;4;NA;NA;NA;7;4;5;NA;8;1;1;5;7;7;NA;1;80;506;1;7;2387.176065
2013;BE;5201;566.5109034;NA;2;2013;NA;3;1968;1;1;3;BE;2;3;3;5;NA;NA;2;NA;3;7;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;21;2;2;3;2;NA;2;NA;0;1;9531;553;0;0;1;0;0;0;1922;0;0;0;0;0;1;1;1;1;1;1;1;6;7;8;8;8;2;3;3;4;1;NA;NA;NA;0;3;9;6;1;1;6;5;8;2;1;44;520;1;2;1440.224231
2013;BE;5211;566.5109034;NA;3;2013;NA;3;1932;2;4;1;EU;2;NA;3;7;1;NA;NA;NA;3;3;29;NA;NA;NA;2;1;1;2;NA;NA;21;2;2;3;2;NA;2;NA;0;1;0;0;0;4400;1;0;0;0;0;50165;0;0;0;0;1;1;1;1;1;1;NA;1;9;9;8;8;3;4;2;NA;1;7;6;7;6;5;9;7;1;1;9;8;8;2;1;80;521;1;2;NA
2013;BE;5331;566.5109034;NA;4;2013;NA;1;1977;1;1;1;BE;2;2;4;5;NA;1;2;NA;NA;5;NA;NA;NA;NA;3;NA;1;NA;NA;NA;18;3;2;3;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;0;0;0;12997;0;565;1;1;1;1;1;1;1;1;8;3;8;NA;5;2;3;2;2;NA;9;8;6;99;5;8;2;1;99;10;9;NA;1;35;533;1;2;1702.82069
2013;BE;5461;566.5109034;NA;2;2013;NA;2;1950;2;5;1;BE;2;NA;3;5;NA;1;2;NA;3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;2;1;3;2;NA;2;NA;0;1;0;0;0;0;1;1200;0;0;13185;0;0;0;0;0;1;1;1;1;1;1;3;5;7;9;7;8;3;NA;2;5;2;NA;7;4;0;7;7;2;1;1;8;2;5;3;1;62;546;1;2;NA
2013;BE;5571;566.5109034;NA;2;2013;NA;3;1952;1;5;3;BE;2;NA;3;3;1;2;NA;NA;3;0 - 1;24;NA;j;NA;1;1;2;2;NA;NA;19;1;2;3;2;NA;2;NA;0;1;0;0;0;0;1;0;30461;0;0;0;0;0;0;2168;1;1;1;1;1;1;1;6;7;9;10;NA;3;4;2;4;2;8;6;8;1;5;8;NA;1;1;7;NA;8;2;1;60;557;1;7;1692.984851
2013;BE;5831;566.5109034;NA;2;2013;NA;2;1944;1;5;1;BE;2;NA;3;7;1;1;2;NA;3;3;NA;NA;NA;3;NA;1;2;2;7;NA;16;2;2;NA;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;0;18020;0;0;0;0;1;1;2;3;1;1;1;1;9;6;10;8;NA;5;NA;5;2;NA;NA;6;6;2;6;7;1;1;NA;9;8;2;1;68;583;1;5;NA
2013;BE;5871;566.5109034;NA;2;2013;NA;1;1959;2;5;1;BE;2;NA;3;1;1;NA;NA;NA;3;9;38;NA;q;NA;11;1;1;2;NA;NA;16;1;2;3;2;NA;2;NA;0;1;44984;1420;0;0;1;910;0;0;0;0;0;0;0;0;1;1;1;1;2;2;1;1;8;9;8;9;3;4;2;4;2;7;8;7;6;7;7;6;1;1;6;8;8;2;1;53;587;1;2;NA
2013;BE;5911;566.5109034;NA;2;2013;NA;1;1959;2;2;3;Other;1;3;5;10;NA;2;2;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;1;2;NA;2;NA;1000;1;0;0;0;7340;1;600;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;8;5;NA;6;3;5;2;NA;3;NA;NA;8;6;NA;6;NA;NA;1;8;NA;NA;NA;1;53;591;1;2;621.1249552
2013;BE;5951;566.5109034;NA;2;2013;NA;4;1951;1;2;3;BE;2;NA;1;5;NA;2;NA;NA;3;5;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;16;2;1;1;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;13290;0;0;0;0;0;1;1;1;3;3;1;1;5;5;5;2;7;2;3;2;4;3;NA;NA;4;3;4;0;NA;NA;1;7;8;7;3;1;61;595;1;6;1623.328194
2013;BE;5971;566.5109034;NA;2;2013;NA;2;1954;1;2;3;BE;2;NA;5;5;NA;NA;NA;NA;3;3;32;NA;NA;3;NA;1;2;NA;NA;1;16;2;1;2;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;12779;0;0;0;0;0;1;1;1;1;1;1;1;1;9;8;7;10;5;3;2;NA;2;NA;NA;9;7;2;NA;10;1;2;6;3;NA;3;1;58;597;1;6;1927.102965
2013;BE;6101;566.5109034;NA;2;2013;NA;4;1942;2;2;1;BE;1;NA;2;7;NA;1;NA;NA;3;4;42;NA;NA;NA;1;NA;NA;NA;NA;NA;16;1;1;2;2;NA;2;NA;0;1;0;0;0;1133;1;0;0;0;0;1351;0;0;0;0;1;1;1;1;1;1;1;1;NA;NA;NA;9;3;NA;NA;NA;2;NA;NA;NA;3;NA;7;8;1;1;7;NA;NA;NA;1;70;610;1;6;523.8937062
2013;BE;6391;566.5109034;NA;2;2013;NA;2;1966;1;2;2;BE;2;NA;6;1;1;1;NA;NA;3;2;38;NA;k;NA;13;NA;1;2;7;NA;20;4;2;3;2;NA;2;NA;0;1;30804;0;0;0;1;910;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;5;7;8;7;8;3;5;3;4;NA;8;6;9;0;5;6;8;1;1;5;NA;NA;2;1;46;639;1;7;349.0581208
2013;BE;6521;566.5109034;NA;2;2013;NA;4;1954;2;5;1;BE;2;NA;5;5;1;NA;1;NA;NA;0 - 1;NA;NA;a;NA;1;NA;NA;NA;NA;11;30;3;2;3;2;NA;2;NA;0;1;0;0;0;17485;1;800;0;0;3686;0;0;0;0;0;1;2;1;2;1;1;1;1;8;9;NA;8;NA;3;NA;4;2;NA;NA;6;4;3;6;8;1;2;5;10;8;1;1;58;652;1;2;NA
2013;BE;6561;566.5109034;NA;2;2013;NA;4;1983;2;1;NA;BE;2;NA;5;2;NA;1;NA;NA;3;2;37;NA;l-n;NA;13;1;2;2;NA;4;21;2;2;3;2;NA;2;1;300;1;34469;283;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;9;4;10;7;5;4;2;5;2;6;NA;8;6;NA;7;6;2;1;8;8;NA;1;1;29;656;1;7;1362.020581
2013;BE;6621;566.5109034;NA;3;2013;NA;2;1961;2;4;1;Other;2;NA;5;1;1;1;NA;NA;3;0 - 1;20;NA;r-u;NA;NA;2;2;NA;NA;NA;16;4;2;3;2;NA;2;NA;0;1;21285;0;0;0;1;0;408;0;0;0;0;0;0;0;1;1;1;1;1;1;1;5;9;7;5;7;4;3;2;5;3;NA;NA;6;5;7;9;10;NA;1;3;10;8;1;1;51;662;1;7;2210.504581
2013;BE;6671;566.5109034;NA;2;2013;NA;4;1977;1;1;3;BE;2;NA;5;5;NA;NA;NA;NA;3;4;NA;NA;NA;3;NA;1;2;NA;NA;NA;15;2;2;2;2;NA;2;NA;0;1;0;0;0;11920;1;0;0;0;10548;0;0;0;0;0;1;1;1;1;1;3;1;5;5;9;5;8;3;5;2;9;2;NA;10;0;5;2;NA;9;1;2;1;3;7;2;1;35;667;1;6;812.0869786
2013;BE;7081;566.5109034;NA;4;2013;NA;3;1953;2;5;1;BE;2;NA;5;1;1;NA;NA;NA;3;0 - 1;45;NA;o;NA;13;1;2;NA;NA;NA;19;2;2;2;2;NA;2;NA;0;1;48687;0;0;24369;1;0;0;0;0;0;0;0;0;0;1;1;1;1;3;2;1;1;8;NA;5;NA;3;5;1;3;2;8;10;7;1;8;7;NA;1;1;5;8;5;2;1;59;708;1;5;NA
2013;BE;7131;566.5109034;NA;2;2013;NA;2;1948;2;1;3;BE;2;NA;5;1;NA;NA;2;NA;3;4;NA;NA;j;NA;NA;1;2;NA;NA;NA;32;2;2;3;2;NA;1;NA;0;1;10546;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;6;9;8;NA;7;3;3;1;4;2;NA;NA;8;2;4;0;10;1;1;5;4;8;2;1;64;713;1;2;1634.687375
2013;BE;7521;566.5109034;NA;4;2013;NA;1;1932;2;1;3;BE;2;NA;5;7;1;1;2;NA;3;5;40;NA;NA;NA;12;NA;2;2;NA;NA;19;2;2;3;2;NA;2;NA;0;1;0;0;0;0;1;0;0;0;0;17896;0;0;0;0;1;NA;2;2;1;2;1;1;2;NA;8;NA;3;3;2;5;3;NA;NA;9;6;0;6;9;1;1;6;3;9;NA;1;80;752;1;5;2248.743806
2013;BE;7561;566.5109034;NA;3;2013;NA;1;1949;1;2;1;BE;2;NA;5;3;NA;1;2;NA;3;7;60;NA;g;NA;1;1;1;NA;NA;NA;18;2;2;1;2;NA;2;NA;4074;1;0;0;0;0;1;0;25495;0;0;0;0;0;0;0;1;1;1;1;2;1;NA;5;5;1;NA;5;4;3;2;4;2;NA;NA;5;6;2;NA;8;1;1;7;8;9;2;1;63;756;1;2;905.71362
